Table_Name,Column_Name,Column_Type,Length,Distinct_Values,Null_Count,Entity_Flag
Address.txt,AddressID,int64,449,449,0,0
Address.txt,AddressLine1,object,449,444,0,0
Address.txt,AddressLine2,object,449,12,438,0
Address.txt,City,object,449,269,0,0
Address.txt,StateProvince,object,449,25,0,0
Address.txt,CountryRegion,object,449,3,0,0
Address.txt,PostalCode,object,449,303,0,0
Address.txt,rowguid,object,449,449,0,0
Address.txt,ModifiedDate,datetime64[ns],449,25,0,0
CustomerAddress.txt,CustomerID,int64,417,407,0,0
CustomerAddress.txt,AddressID,int64,417,417,0,0
CustomerAddress.txt,AddressType,object,417,2,0,0
CustomerAddress.txt,rowguid,object,417,417,0,0
CustomerAddress.txt,ModifiedDate,datetime64[ns],417,25,0,0
Product.txt,ProductID,int64,295,295,0,0
Product.txt,Name,object,295,295,0,0
Product.txt,ProductNumber,object,295,295,0,0
Product.txt,Color,object,295,10,50,0
Product.txt,StandardCost,float64,295,110,0,0
Product.txt,ListPrice,float64,295,99,0,0
Product.txt,Size,object,295,19,84,0
Product.txt,Weight,float64,295,219,97,0
Product.txt,ProductCategoryID,int64,295,37,0,0
Product.txt,ProductModelID,int64,295,119,0,0
Product.txt,SellStartDate,datetime64[ns],295,4,0,0
Product.txt,SellEndDate,datetime64[ns],295,3,197,0
Product.txt,DiscontinuedDate,float64,295,295,295,0
Product.txt,ThumbNailPhoto,object,295,42,0,0
Product.txt,ThumbnailPhotoFileName,object,295,42,0,0
Product.txt,rowguid,object,295,295,0,0
Product.txt,ModifiedDate,datetime64[ns],295,2,0,0
ProductCategory.txt,ProductCategoryID,int64,41,41,0,0
ProductCategory.txt,ParentProductCategoryID,float64,41,8,4,0
ProductCategory.txt,Name,object,41,41,0,0
ProductCategory.txt,rowguid,object,41,41,0,0
ProductCategory.txt,ModifiedDate,datetime64[ns],41,1,0,0
ProductDescription.txt,ProductDescriptionID,int64,762,762,0,0
ProductDescription.txt,Description,object,762,733,0,0
ProductDescription.txt,rowguid,object,762,762,0,0
ProductDescription.txt,ModifiedDate,datetime64[ns],762,2,0,0
ProductModel.txt,ProductModelID,int64,128,128,0,0
ProductModel.txt,Name,object,128,128,0,0
ProductModel.txt,CatalogDescription,object,128,2,122,0
ProductModel.txt,rowguid,object,128,128,0,0
ProductModel.txt,ModifiedDate,datetime64[ns],128,10,0,0
ProductModelProductDescription.txt,ProductModelID,int64,762,127,0,0
ProductModelProductDescription.txt,ProductDescriptionID,int64,762,762,0,0
ProductModelProductDescription.txt,Culture,object,762,6,0,0
ProductModelProductDescription.txt,rowguid,object,762,762,0,0
ProductModelProductDescription.txt,ModifiedDate,datetime64[ns],762,1,0,0
SalesOrderDetail.txt,SalesOrderID,int64,542,32,0,0
SalesOrderDetail.txt,SalesOrderDetailID,int64,542,542,0,0
SalesOrderDetail.txt,OrderQty,int64,542,19,0,0
SalesOrderDetail.txt,ProductID,int64,542,142,0,0
SalesOrderDetail.txt,UnitPrice,float64,542,64,0,0
SalesOrderDetail.txt,UnitPriceDiscount,float64,542,5,0,0
SalesOrderDetail.txt,LineTotal,float64,542,259,0,0
SalesOrderDetail.txt,rowguid,object,542,542,0,0
SalesOrderDetail.txt,ModifiedDate,datetime64[ns],542,1,0,0
SalesOrderHeader.txt,SalesOrderID,int64,32,32,0,0
SalesOrderHeader.txt,RevisionNumber,int64,32,1,0,0
SalesOrderHeader.txt,OrderDate,datetime64[ns],32,1,0,0
SalesOrderHeader.txt,DueDate,datetime64[ns],32,1,0,0
SalesOrderHeader.txt,ShipDate,datetime64[ns],32,1,0,0
SalesOrderHeader.txt,Status,int64,32,1,0,0
SalesOrderHeader.txt,OnlineOrderFlag,int64,32,1,0,0
SalesOrderHeader.txt,SalesOrderNumber,object,32,32,0,0
SalesOrderHeader.txt,PurchaseOrderNumber,object,32,32,0,0
SalesOrderHeader.txt,AccountNumber,object,32,32,0,0
SalesOrderHeader.txt,CustomerID,int64,32,32,0,0
SalesOrderHeader.txt,ShipToAddressID,int64,32,32,0,0
SalesOrderHeader.txt,BillToAddressID,int64,32,32,0,0
SalesOrderHeader.txt,ShipMethod,object,32,1,0,0
SalesOrderHeader.txt,CreditCardApprovalCode,float64,32,32,32,0
SalesOrderHeader.txt,SubTotal,float64,32,32,0,0
SalesOrderHeader.txt,TaxAmt,float64,32,32,0,0
SalesOrderHeader.txt,Freight,float64,32,32,0,0
SalesOrderHeader.txt,TotalDue,float64,32,32,0,0
SalesOrderHeader.txt,Comment,float64,32,32,32,0
SalesOrderHeader.txt,rowguid,object,32,32,0,0
SalesOrderHeader.txt,ModifiedDate,datetime64[ns],32,1,0,0
